Gene stable ID,NCBI gene (formerly Entrezgene) ID,HGNC symbol
ENSG00000156006,10,NAT2
ENSG00000196839,100,ADA
ENSG00000170558,1000,CDH2
ENSG00000275199,10000,AKT3
ENSG00000117020,10000,AKT3
ENSG00000274917,100008587,RNA5-8SN5
ENSG00000101473,10005,ACOT8
ENSG00000136754,10006,ABI1
ENSG00000113552,10007,GNPDA1
ENSG00000175538,10008,KCNE3
ENSG00000062038,1001,CDH3
ENSG00000136560,10010,TANK
ENSG00000272391,100101267,POM121C
ENSG00000183850,100129543,ZNF730
ENSG00000237440,100129842,ZNF737
ENSG00000094631,10013,HDAC6
ENSG00000259120,100130933,SMIM6
ENSG00000205903,100131017,ZNF316
ENSG00000227124,100131827,ZNF717
ENSG00000281518,100132074,FOXO6
ENSG00000204060,100132074,FOXO6
ENSG00000278152,100132285,KIR2DS2
ENSG00000276258,100132285,KIR2DS2
ENSG00000276425,100132285,KIR2DS2
ENSG00000274518,100132285,KIR2DS2
ENSG00000275452,100132285,KIR2DS2
ENSG00000277885,100132285,KIR2DS2
ENSG00000275735,100132285,KIR2DS2
ENSG00000275737,100132285,KIR2DS2
ENSG00000274438,100132285,KIR2DS2
ENSG00000275253,100132285,KIR2DS2
ENSG00000276139,100132285,KIR2DS2
ENSG00000278300,100132285,KIR2DS2
ENSG00000275583,100132285,
ENSG00000185758,100132463,CLDN24
ENSG00000272398,100133941,CD24
ENSG00000260458,100134444,KCNJ18
ENSG00000243708,100137049,PLA2G4B
ENSG00000108840,10014,HDAC5
ENSG00000170248,10015,PDCD6IP
ENSG00000285166,100169751,RNA5S1
ENSG00000199352,100169751,RNA5S1
ENSG00000285285,100169753,RNA5S2
ENSG00000201588,100169753,RNA5S2
ENSG00000285168,100169754,RNA5S3
ENSG00000199337,100169754,RNA5S3
ENSG00000200381,100169755,RNA5S4
ENSG00000199396,100169756,RNA5S5
ENSG00000200624,100169757,RNA5S6
ENSG00000202521,100169758,RNA5S7
ENSG00000200343,100169759,RNA5S8
ENSG00000201321,100169760,RNA5S9
ENSG00000199910,100169761,RNA5S10
ENSG00000199334,100169762,RNA5S11
ENSG00000285168,100169763,RNA5S3
ENSG00000199337,100169763,RNA5S3
ENSG00000199270,100169763,RNA5S12
